CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15600000,679,France,Male,50,8,229472.69,1,0,1,123214.7,0
15600001,551,Spain,Male,27,2,44430.84,3,1,0,88653.44,1
15600002,721,France,Female,36,3,150171.27,3,0,1,122873.39,0
15600003,739,Spain,Female,30,2,89674.01,1,1,0,94927.56,0
15600004,465,Spain,Male,43,3,75570.92,1,0,0,43790.56,1
15600005,526,Germany,Male,26,1,0.0,1,1,1,98043.84,1
15600006,662,France,Male,48,6,0.0,1,1,1,79936.37,1
15600007,620,France,Male,54,5,136585.34,1,1,1,36543.55,0
15600008,648,Spain,Female,54,0,0.0,3,1,0,82192.78,1
15600009,569,France,Male,46,7,0.0,1,1,1,75719.82,0
15600010,734,France,Male,43,10,0.0,1,1,1,85553.66,1
15600011,724,Spain,Male,36,9,138987.49,4,1,0,240000.0,1
15600012,656,Spain,Female,46,3,73341.18,1,0,1,163421.42,0
15600013,757,Germany,Male,40,5,97519.84,1,1,0,84803.41,0
15600014,694,France,Female,20,4,0.0,2,0,0,121726.32,0
15600015,568,France,Female,34,0,0.0,1,1,1,63944.25,0
15600016,685,Spain,Female,50,6,0.0,1,1,0,57225.85,1
15600017,559,France,Male,29,3,129530.65,1,1,1,109330.55,0
15600018,733,France,Male,28,9,90156.35,2,1,1,66347.26,0
15600019,645,France,Female,39,5,0.0,1,0,1,89886.16,0
15600020,632,Germany,Female,18,3,0.0,2,1,0,57151.28,0
15600021,585,France,Female,49,7,117352.03,1,1,0,79538.52,0
15600022,766,Spain,Male,48,1,121165.77,4,1,0,104790.15,0
15600023,635,France,Male,51,2,0.0,2,1,0,125809.42,0
15600024,609,France,Male,43,6,0.0,1,1,0,60179.15,1
15600025,617,Spain,Male,32,8,0.0,2,1,0,168728.55,0
15600026,701,Spain,Male,27,8,0.0,1,1,1,90888.49,0
15600027,685,Germany,Female,47,8,0.0,1,1,1,79187.19,1
15600028,689,Spain,Male,49,7,107706.23,1,1,1,89029.09,0
15600029,691,France,Female,29,8,123919.9,2,1,1,82255.13,0
15600030,853,France,Male,27,8,55441.68,1,0,1,88473.37,0
15600031,611,France,Male,41,7,0.0,1,1,0,91819.08,1
15600032,601,France,Male,43,5,0.0,2,1,1,79443.01,1
15600033,573,Spain,Female,51,2,0.0,4,1,0,148795.06,0
15600034,709,Spain,Male,48,8,0.0,3,0,0,78473.53,0
15600035,757,France,Male,40,6,0.0,3,1,1,39696.21,0
15600036,639,France,Male,52,2,167260.12,1,0,1,167377.0,1
15600037,570,Spain,Female,37,3,91915.94,1,1,1,91205.1,1
15600038,572,Germany,Male,38,10,0.0,1,1,1,41590.0,0
15600039,712,France,Female,50,10,0.0,2,0,0,50711.93,0
15600040,721,France,Male,52,0,0.0,3,1,1,70176.53,0
15600041,702,France,Male,52,0,156689.93,3,0,0,94293.87,0
15600042,587,France,Male,39,9,0.0,2,0,1,18973.84,0
15600043,672,France,Male,42,7,103857.27,2,0,1,23977.33,0
15600044,661,France,Male,31,5,0.0,3,1,1,80089.29,0
15600045,671,France,Male,51,9,96873.94,1,0,1,142178.6,1
15600046,733,France,Female,34,5,0.0,2,0,0,141026.11,0
15600047,671,France,Male,19,3,90081.06,3,1,1,49132.59,0
15600048,714,France,Male,36,1,132805.1,1,0,0,99986.12,0
15600049,656,France,Female,32,2,97474.67,1,0,0,99274.28,1
15600050,677,Spain,Male,18,3,140538.05,2,1,0,85182.48,0
15600051,710,Spain,Female,35,1,132201.53,3,1,0,133145.64,0
15600052,512,France,Male,50,4,0.0,2,0,1,54555.69,0
15600053,620,France,Male,46,5,60845.84,1,1,0,91328.99,0
15600054,605,Germany,Male,46,8,60446.54,1,1,0,184873.33,0
15600055,589,France,Female,57,2,0.0,1,0,1,66260.43,0
15600056,624,Germany,Male,35,10,108070.39,1,1,0,62278.33,0
15600057,792,Spain,Male,28,6,109460.34,1,1,0,108361.95,1
15600058,568,France,Male,46,2,53609.47,1,0,1,91054.59,0
15600059,742,France,Male,45,6,0.0,2,1,1,33932.52,0
15600060,490,France,Male,27,5,47908.09,2,1,1,123421.73,0
15600061,618,Germany,Male,39,1,142971.65,1,0,1,44556.76,0
15600062,665,France,Female,47,5,0.0,1,1,0,111814.3,0
15600063,706,Germany,Female,44,7,0.0,1,1,1,72926.44,1
15600064,718,France,Female,49,0,74767.75,1,1,0,75979.69,0
15600065,725,Germany,Male,34,10,88412.14,2,0,1,79819.33,0
15600066,617,Germany,Female,25,10,199983.79,1,1,1,52203.27,0
15600067,606,France,Male,31,10,0.0,1,0,1,133282.62,0
15600068,732,Spain,Male,51,10,0.0,3,1,1,81104.74,0
15600069,632,Spain,Female,52,1,0.0,1,1,0,66502.3,0
15600070,529,Germany,Female,39,1,50962.35,1,0,1,163324.33,0
15600071,542,Spain,Female,58,9,176686.05,2,0,1,74326.43,1
15600072,563,Spain,Female,39,1,97606.22,3,0,0,52464.1,1
15600073,697,France,Female,35,8,0.0,3,0,1,112508.27,0
15600074,664,Germany,Male,25,1,106998.12,2,1,1,59543.39,0
15600075,716,Germany,Male,40,10,0.0,1,1,0,164546.61,0
15600076,609,Germany,Female,53,6,0.0,1,1,0,66875.25,0
15600077,665,Spain,Female,55,2,38026.07,1,0,0,60536.77,0
15600078,709,France,Male,53,2,129846.89,3,1,1,54218.83,1
15600079,621,France,Male,46,6,0.0,2,1,1,77565.91,0
15600080,693,France,Male,59,1,0.0,4,1,0,64676.62,1
15600081,587,Spain,Male,30,5,0.0,2,1,0,71129.19,0
15600082,616,France,Female,54,8,0.0,2,1,0,41252.1,1
15600083,614,France,Male,44,9,5000.0,1,1,1,89348.5,1
15600084,536,France,Female,43,10,99752.58,2,1,1,100703.84,0
15600085,696,Germany,Female,25,0,0.0,2,1,1,118306.53,1
15600086,605,France,Male,45,9,137565.55,1,0,0,59191.87,0
15600087,651,France,Male,54,5,105714.96,3,1,1,90804.06,0
15600088,696,France,Male,18,9,176819.12,2,1,0,119709.12,0
15600089,692,France,Male,50,4,41613.44,1,0,0,91400.96,0
15600090,713,France,Male,18,5,0.0,1,1,0,57575.93,0
15600091,641,France,Female,25,10,34959.74,4,0,1,110826.58,0
15600092,610,Germany,Female,40,5,0.0,1,1,0,141573.83,0
15600093,642,France,Male,58,9,66157.75,2,1,1,82019.99,0
15600094,490,France,Male,40,9,144834.47,1,0,1,90725.36,1
15600095,513,Germany,Female,46,10,134011.24,2,1,1,47870.4,0
15600096,524,France,Female,31,1,0.0,1,1,0,62301.93,0
15600097,555,France,Male,39,7,0.0,2,0,0,118134.43,0
15600098,688,France,Male,40,7,150357.08,1,1,0,77665.57,1
15600099,564,France,Male,59,2,122405.48,1,1,0,51771.48,1
15600100,614,Germany,Male,33,5,0.0,2,1,1,144371.03,0
15600101,773,Spain,Male,34,7,0.0,2,1,0,123389.5,0
15600102,616,France,Female,53,3,195885.71,4,0,0,67661.17,1
15600103,720,Germany,Male,38,9,128911.65,2,1,1,240000.0,0
15600104,561,Spain,Male,42,6,20693.65,1,1,1,61891.42,1
15600105,630,France,Male,46,3,98472.77,3,1,0,37510.34,1
15600106,560,Spain,Female,34,8,44773.39,3,0,0,71850.33,1
15600107,618,Germany,Male,18,6,181584.22,1,1,0,38562.94,0
15600108,730,Germany,Male,53,10,180567.96,1,0,0,96765.32,0
15600109,486,Spain,Female,42,1,113426.76,2,1,1,145633.98,0
15600110,691,France,Male,27,6,152042.13,1,1,1,54067.45,0
15600111,673,Spain,Female,50,1,0.0,2,0,1,63795.81,0
15600112,594,France,Male,63,9,0.0,3,1,1,61229.68,0
15600113,513,Germany,Female,54,4,146671.18,3,1,1,65465.92,1
15600114,657,France,Male,64,3,0.0,1,0,1,72683.41,1
15600115,600,France,Male,27,5,112839.6,2,0,0,56867.49,1
15600116,672,France,Male,44,2,0.0,1,1,1,101844.75,0
15600117,652,Spain,Female,45,4,0.0,1,1,1,47559.1,0
15600118,802,Germany,Male,40,6,0.0,1,0,0,86632.43,0
15600119,627,Spain,Male,37,0,144367.72,3,1,1,111912.05,0
15600120,553,France,Male,18,7,210455.37,1,1,1,49434.32,0
15600121,667,France,Female,60,8,0.0,2,1,1,37631.82,0
15600122,671,France,Male,23,8,185011.81,2,1,0,43733.53,0
15600123,779,France,Male,51,3,0.0,1,1,0,63993.51,1
15600124,729,France,Male,41,7,154578.46,2,0,1,43689.0,0
15600125,684,Spain,Female,41,10,104413.44,2,1,0,151439.34,0
15600126,789,Spain,Male,39,3,135718.24,1,1,0,76007.62,0
15600127,537,France,Female,43,2,175771.06,1,1,1,56099.77,0
15600128,589,France,Male,48,10,175030.96,1,1,1,54292.75,1
15600129,562,Germany,Male,51,7,96356.08,1,1,1,111583.77,0
15600130,613,Germany,Female,40,0,0.0,1,1,0,125523.87,0
15600131,519,Germany,Female,28,5,0.0,3,0,1,62921.84,1
15600132,710,Germany,Male,27,10,0.0,1,1,0,84704.09,0
15600133,629,France,Female,52,0,141005.3,3,1,1,96348.29,0
15600134,510,France,Male,38,9,61742.27,1,1,1,94502.1,0
15600135,554,Spain,Female,30,6,5000.0,1,0,0,104141.76,1
15600136,680,Germany,Female,33,6,153116.95,1,0,1,123925.41,0
15600137,730,Spain,Male,40,0,91025.58,1,1,1,102143.28,1
15600138,840,France,Male,27,8,0.0,2,1,1,61555.23,0
15600139,900,Germany,Male,41,0,0.0,1,1,1,66828.72,0
15600140,689,France,Female,55,3,0.0,1,1,1,39204.36,1
15600141,556,Spain,Male,40,7,0.0,1,0,1,83782.45,0
15600142,447,France,Male,22,10,0.0,1,0,0,81133.99,1
15600143,675,Germany,Male,51,5,82401.7,2,1,1,62088.72,0
15600144,573,France,Male,53,7,142565.6,1,0,1,87916.61,0
15600145,611,France,Female,54,9,0.0,4,1,0,63257.17,0
15600146,592,France,Male,42,9,0.0,1,1,0,52855.93,0
15600147,637,Germany,Male,67,4,30046.61,3,1,0,133961.07,0
15600148,751,Spain,Male,49,9,0.0,2,0,0,60175.07,0
15600149,665,Spain,Female,74,10,113777.94,2,0,0,73824.5,0
15600150,635,Germany,Female,56,4,86773.87,2,0,1,103842.86,0
15600151,552,Germany,Male,54,0,152371.08,1,0,1,48717.28,0
15600152,491,Spain,Male,34,1,118159.33,2,1,1,83548.39,0
15600153,604,France,Male,31,10,100086.46,1,0,0,50842.69,0
15600154,645,Spain,Female,42,7,0.0,1,0,1,100956.65,0
15600155,818,Germany,Male,39,2,89930.63,1,1,0,203840.97,0
15600156,662,Germany,Male,35,7,0.0,1,0,1,119651.57,0
15600157,743,France,Female,40,2,158109.73,1,1,0,135428.86,0
15600158,603,France,Female,39,9,0.0,2,1,1,98413.07,0
15600159,537,France,Female,34,5,107428.04,2,1,1,168135.14,1
15600160,558,Spain,Male,48,9,0.0,2,1,0,30917.74,1
15600161,581,Germany,Female,33,7,85424.92,2,1,0,89220.18,0
15600162,852,France,Male,41,2,130056.93,1,1,1,119128.92,1
15600163,572,France,Female,28,6,62341.4,2,1,0,68202.97,0
15600164,730,Spain,Female,42,7,0.0,2,1,1,103440.58,0
15600165,564,France,Male,43,3,27595.03,2,1,0,60074.31,0
15600166,738,France,Male,30,5,0.0,2,0,0,145998.56,0
15600167,687,Germany,Female,42,6,0.0,1,0,0,77300.54,0
15600168,635,France,Male,40,0,38054.73,1,1,0,69235.75,1
15600169,646,France,Female,36,4,0.0,2,1,1,56881.72,0
15600170,588,France,Male,36,8,0.0,1,1,1,80288.05,0
15600171,692,France,Female,46,2,0.0,1,1,0,153085.8,1
15600172,607,Spain,Male,41,1,0.0,2,0,1,130650.71,0
15600173,534,Spain,Female,52,0,0.0,1,1,0,53233.31,0
15600174,529,Spain,Male,30,7,0.0,2,0,1,81655.25,0
15600175,666,Spain,Male,39,7,96635.08,1,1,1,96379.37,0
15600176,800,France,Female,34,0,19590.28,1,1,0,70976.52,1
15600177,665,France,Male,42,6,108269.4,2,1,0,85092.98,0
15600178,639,Germany,Female,44,4,148307.58,2,1,0,133371.25,1
15600179,677,France,Male,28,5,0.0,1,1,1,74123.89,1
15600180,774,Spain,Male,48,7,162961.32,1,1,1,95750.71,0
15600181,671,France,Female,65,4,134352.98,1,1,1,126669.08,0
15600182,611,Germany,Female,43,4,78060.9,1,0,1,108974.21,0
15600183,755,Germany,Male,31,5,0.0,2,1,1,83775.33,0
15600184,691,Spain,Female,38,10,59716.03,4,0,1,148745.8,0
15600185,796,Germany,Male,37,1,131468.95,2,1,0,56343.47,0
15600186,667,Germany,Female,34,3,162742.98,1,1,0,37168.03,0
15600187,534,France,Female,49,7,88920.57,1,1,0,90878.99,0
15600188,520,Germany,Female,21,5,0.0,1,0,0,183960.28,1
15600189,807,Germany,Male,44,9,0.0,2,0,1,208139.49,0
15600190,814,France,Male,55,3,105821.05,1,1,0,52621.79,0
15600191,633,Spain,Female,54,1,35436.79,3,1,1,60958.38,1
15600192,614,France,Male,52,2,5000.0,2,1,1,36249.98,0
15600193,789,France,Female,34,8,129865.84,1,1,0,82846.53,1
15600194,545,Spain,Female,57,6,159940.6,1,1,1,107356.89,0
15600195,565,France,Female,45,4,132899.7,1,0,1,50875.33,1
15600196,711,Germany,Male,57,2,0.0,1,1,0,64424.74,1
15600197,613,France,Male,53,8,127975.14,3,1,1,143500.28,0
15600198,650,Spain,Female,44,3,115023.12,2,0,0,188115.48,1
15600199,634,France,Male,38,5,0.0,2,1,0,114424.14,0
15600200,682,France,Female,67,8,77864.92,1,0,0,61389.06,0
15600201,784,Spain,Male,21,2,0.0,2,1,1,172484.61,0
15600202,659,Germany,Female,39,4,182843.42,3,1,0,99241.73,1
15600203,711,Germany,Male,26,4,151659.37,1,0,0,65830.54,0
15600204,455,France,Female,42,0,0.0,2,1,1,59309.79,1
15600205,645,France,Male,45,1,98345.03,4,0,0,27982.95,0
15600206,570,Spain,Male,34,2,38904.81,2,1,0,169337.65,1
15600207,534,Germany,Male,35,0,0.0,2,1,0,240000.0,0
15600208,567,Spain,Female,26,4,0.0,3,1,1,76727.51,0
15600209,618,Spain,Male,46,0,100930.25,1,1,1,103469.54,0
15600210,737,Germany,Female,36,6,117874.6,1,1,0,75529.01,0
15600211,524,Germany,Female,46,10,0.0,1,1,0,85282.79,1
15600212,653,Germany,Male,35,5,0.0,1,0,0,47705.85,0
15600213,604,Spain,Male,44,10,0.0,3,0,0,95188.52,0
15600214,619,Germany,Female,49,5,127901.37,2,1,1,182628.96,0
15600215,745,France,Male,46,0,180166.15,2,1,0,76406.66,0
15600216,701,Spain,Male,43,4,97109.0,1,1,1,66795.23,0
15600217,777,Germany,Male,40,2,0.0,2,1,1,127324.93,0
15600218,635,Spain,Male,46,5,60044.47,2,1,0,57280.62,0
15600219,584,France,Female,34,5,0.0,1,1,1,68035.94,0
15600220,629,France,Female,39,8,166364.74,1,1,1,66260.61,0
15600221,673,Germany,Female,45,7,129190.12,2,1,1,61917.71,0
15600222,667,Spain,Male,58,1,131497.94,3,1,0,52314.35,0
15600223,547,France,Female,34,1,0.0,2,1,1,111716.95,0
15600224,659,France,Male,31,1,143086.82,1,1,1,152655.57,0
15600225,672,Germany,Male,44,2,0.0,3,1,0,113365.94,1
15600226,889,Spain,Female,54,10,0.0,3,1,1,196528.68,1
